Twitter-HyDrug
Epoch: 68, Train Loss: 17.8552, Valid Loss: 0.9813, Test  Loss: 1.0323, Train Acc: 91.13%, Valid Acc: 66.33%, Test  Acc: 67.69%, Train F1: 83.93%, Valid F1: 53.98%, Test  F1: 51.58%, 
Epoch: 69, Train Loss: 17.8522, Valid Loss: 1.0303, Test  Loss: 1.0655, Train Acc: 91.81%, Valid Acc: 66.67%, Test  Acc: 67.69%, Train F1: 86.15%, Valid F1: 53.86%, Test  F1: 51.88%, 
Epoch: 70, Train Loss: 17.8752, Valid Loss: 1.0298, Test  Loss: 1.0838, Train Acc: 91.81%, Valid Acc: 66.67%, Test  Acc: 66.75%, Train F1: 86.34%, Valid F1: 56.00%, Test  F1: 53.58%, 
Epoch: 71, Train Loss: 17.8786, Valid Loss: 1.1048, Test  Loss: 1.1341, Train Acc: 91.47%, Valid Acc: 67.01%, Test  Acc: 66.62%, Train F1: 86.02%, Valid F1: 56.29%, Test  F1: 53.17%, 
Epoch: 72, Train Loss: 17.7965, Valid Loss: 1.2579, Test  Loss: 1.2240, Train Acc: 92.15%, Valid Acc: 64.97%, Test  Acc: 67.86%, Train F1: 86.89%, Valid F1: 52.02%, Test  F1: 51.57%, 
Epoch: 73, Train Loss: 17.8975, Valid Loss: 1.0731, Test  Loss: 1.1524, Train Acc: 91.81%, Valid Acc: 62.24%, Test  Acc: 61.60%, Train F1: 87.94%, Valid F1: 58.38%, Test  F1: 54.18%, 
Epoch: 74, Train Loss: 17.8876, Valid Loss: 1.0659, Test  Loss: 1.0836, Train Acc: 92.15%, Valid Acc: 65.31%, Test  Acc: 67.86%, Train F1: 87.03%, Valid F1: 54.20%, Test  F1: 52.48%, 
Epoch: 75, Train Loss: 17.8291, Valid Loss: 1.1280, Test  Loss: 1.1078, Train Acc: 90.10%, Valid Acc: 65.31%, Test  Acc: 67.90%, Train F1: 83.29%, Valid F1: 52.03%, Test  F1: 50.08%, 
Epoch: 76, Train Loss: 17.8020, Valid Loss: 1.1150, Test  Loss: 1.0957, Train Acc: 90.10%, Valid Acc: 65.65%, Test  Acc: 67.77%, Train F1: 83.18%, Valid F1: 52.46%, Test  F1: 50.83%, 
Epoch: 77, Train Loss: 17.8227, Valid Loss: 1.0671, Test  Loss: 1.0812, Train Acc: 92.49%, Valid Acc: 64.97%, Test  Acc: 66.16%, Train F1: 87.32%, Valid F1: 54.70%, Test  F1: 53.13%, 
Epoch: 78, Train Loss: 17.7996, Valid Loss: 1.1302, Test  Loss: 1.1281, Train Acc: 93.52%, Valid Acc: 64.63%, Test  Acc: 67.35%, Train F1: 89.30%, Valid F1: 54.54%, Test  F1: 53.96%, 
Epoch: 79, Train Loss: 17.7688, Valid Loss: 1.2972, Test  Loss: 1.2368, Train Acc: 91.81%, Valid Acc: 64.97%, Test  Acc: 67.52%, Train F1: 86.17%, Valid F1: 52.76%, Test  F1: 51.92%, 
Epoch: 80, Train Loss: 17.8223, Valid Loss: 1.1840, Test  Loss: 1.2035, Train Acc: 93.86%, Valid Acc: 63.61%, Test  Acc: 64.37%, Train F1: 90.60%, Valid F1: 58.48%, Test  F1: 54.25%, 
Epoch: 81, Train Loss: 17.8151, Valid Loss: 1.2343, Test  Loss: 1.2290, Train Acc: 94.20%, Valid Acc: 61.56%, Test  Acc: 64.71%, Train F1: 90.83%, Valid F1: 55.85%, Test  F1: 55.02%, 
Epoch: 82, Train Loss: 17.7639, Valid Loss: 1.3872, Test  Loss: 1.3017, Train Acc: 92.49%, Valid Acc: 63.95%, Test  Acc: 67.31%, Train F1: 87.85%, Valid F1: 50.61%, Test  F1: 50.85%, 
Epoch: 83, Train Loss: 17.8148, Valid Loss: 1.2595, Test  Loss: 1.2016, Train Acc: 93.86%, Valid Acc: 62.24%, Test  Acc: 66.79%, Train F1: 90.86%, Valid F1: 49.98%, Test  F1: 51.81%, 
Epoch: 84, Train Loss: 17.7603, Valid Loss: 1.1695, Test  Loss: 1.1811, Train Acc: 92.49%, Valid Acc: 59.86%, Test  Acc: 60.41%, Train F1: 89.75%, Valid F1: 55.86%, Test  F1: 52.54%, 
